messageId,sequence,referenceTime,detectionTime,stationId,MeasuredDelayms
1,0,516904233598,516904233598,2,-516904228417
1,0,516904233681,516904233681,2,-516904228000
1,0,516904233787,516904233787,2,-516904227606
1,0,516904233903,516904233903,2,-516904227222
1,0,516904234023,516904234023,2,-516904226842
1,0,516904234153,516904234153,2,-516904226472
1,0,516904234290,516904234290,2,-516904226109
1,0,516904234438,516904234438,2,-516904225757
1,0,516904234594,516904234594,2,-516904225413
1,0,516904234774,516904234774,2,-516904225093
