messageId,sequence,referenceTime,detectionTime,stationId,MeasuredDelayms
1,0,516904234091,516904234091,4,-516904226627
1,0,516904234153,516904234153,2,-516904226472
1,0,516904234226,516904234226,4,-516904226262
1,0,516904234290,516904234290,2,-516904226109
1,0,516904234367,516904234367,4,-516904225903
1,0,516904234438,516904234438,2,-516904225757
1,0,516904234530,516904234530,4,-516904225566
1,0,516904234594,516904234594,2,-516904225413
1,0,516904234696,516904234696,4,-516904225232
1,0,516904234774,516904234774,2,-516904225093
