messageId,sequence,referenceTime,detectionTime,stationId,MeasuredDelayms
1,0,516904233560,516904233560,4,-516904228596
1,0,516904233640,516904233640,4,-516904228176
1,0,516904233740,516904233740,4,-516904227776
1,0,516904233846,516904233846,4,-516904227382
1,0,516904233963,516904233963,4,-516904226999
1,0,516904234091,516904234091,4,-516904226627
1,0,516904234226,516904234226,4,-516904226262
1,0,516904234367,516904234367,4,-516904225903
1,0,516904234530,516904234530,4,-516904225566
1,0,516904234696,516904234696,4,-516904225232
